[ .... ] series.conf file visible. Apply
[ .... ] apply a series of  [ [593] patches ]
[ done ]    patches.megous/ARM-sunxi-sunxi_cpu0_hotplug_support_set-is-not-supported-on-A8.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-regulators-to-the-accelerometer.patch
[ done ]    patches.megous/firmware-scpi-Add-support-for-sending-a-SCPI_CMD_SET_SYS_PWR_ST.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-camera-sensors-HM5065-GC2145.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-flash-led-support.patch
[ done ]    patches.megous/media-sun6i-csi-Add-support-for-RGB565-and-RGB555.patch
[ done ]    patches.megous/media-sun6i-csi-Pass-on-g_parm-s_parm-to-the-subdev.patch
[ done ]    patches.megous/media-sun6i-csi-Add-support-for-missing-16bit-color-formats.patch
[ done ]    patches.megous/media-sun6i-csi-Add-support-for-multiple-endpoints.patch
[ done ]    patches.megous/media-sun6i-csi-Fix-vidioc_g-s_parm-to-handle-lack-of-the-senso.patch
[ done ]    patches.megous/media-sun6i-csi-Add-some-dev-notes.patch
[ done ]    patches.megous/media-sun6i-csi-Disable-control-handler-in-the-csi-driver.patch
[ done ]    patches.megous/media-sun6i-csi-Make-the-video-device-respect-user-passed-bytes.patch
[ done ]    patches.megous/dt-bindings-media-Add-bindings-for-Himax-HM5065-camera-sensor.patch
[ done ]    patches.megous/ARM-sunxi-Use-SCPI-to-send-suspend-message-to-SCP-on-A83T.patch
[ done ]    patches.megous/hm5065-yaml-bindings-wip.patch
[ done ]    patches.megous/gnss-ubx-Send-soft-powerdown-message-on-suspend.patch
[ done ]    patches.megous/media-hm5065-Add-subdev-driver-for-Himax-HM5065-camera-sensor.patch
[ done ]    patches.megous/MAINTAINERS-Add-entry-for-Himax-HM5065.patch
[ done ]    patches.megous/media-gc2145-Galaxycore-camera-module-driver.patch
[ done ]    patches.megous/media-gc2145-Added-BGGR-bayer-mode.patch
[ done ]    patches.megous/media-gc2145-Disable-debug-output.patch
[ done ]    patches.megous/media-gc2145-Add-PIXEL_RATE-HBLANK-and-VBLANK-controls.patch
[ done ]    patches.megous/media-ov5640-Add-more-framerates-to-the-driver-some-of-them-eve.patch
[ done ]    patches.megous/media-ov5640-Experiment-Try-to-disable-denoising-sharpening.patch
[ done ]    patches.megous/media-ov5640-Sleep-after-poweroff-to-ensure-next-poweron-is-not.patch
[ done ]    patches.megous/media-ov5640-Don-t-powerup-the-sensor-during-driver-probe.patch
[ done ]    patches.megous/media-ov5640-set-default-ae-target-lower.patch
[ done ]    patches.megous/media-ov5640-Improve-error-reporting.patch
[ done ]    patches.megous/media-ov5640-Fix-mode-setting-semantics.patch
[ done ]    patches.megous/media-ov5640-Add-HBLANK-and-VBLANK-controls.patch
[ done ]    patches.megous/media-ov5640-Implement-autofocus.patch
[ done ]    patches.megous/media-ov5640-Improve-firmware-load-time.patch
[ done ]    patches.megous/media-ov5640-Fix-focus-commands-blocking-until-complete.patch
[ done ]    patches.megous/iio-adc-sun4i-gpadc-iio-Allow-to-use-sun5i-a13-gpadc-iio-from-D.patch
[ done ]    patches.megous/net-stmmac-sun8i-Use-devm_regulator_get-for-PHY-regulator.patch
[ done ]    patches.megous/mtd-spi-nor-Add-regulator-support.patch
[ done ]    patches.megous/net-stmmac-sun8i-Rename-PHY-regulator-variable-to-regulator_phy.patch
[ done ]    patches.megous/input-cyttsp4-De-obfuscate-platform-data-for-keys.patch
[ done ]    patches.megous/net-stmmac-sun8i-Add-support-for-enabling-a-regulator-for-PHY-I.patch
[ done ]    patches.megous/input-cyttsp4-Remove-useless-indirection-with-driver-platform-d.patch
[ done ]    patches.megous/arm64-dts-allwinner-orange-pi-3-Enable-ethernet.patch
[ done ]    patches.megous/input-cyttsp4-Remove-unused-enable_vkeys.patch
[ done ]    patches.megous/input-cyttsp4-De-obfuscate-MT-signals-setup-platform-data.patch
[ done ]    patches.megous/input-cyttsp4-Clear-the-ids-buffer-in-a-saner-way.patch
[ done ]    patches.megous/input-cyttsp4-ENOSYS-error-is-ok-when-powering-up.patch
[ done ]    patches.megous/input-cyttsp4-Faster-recovery-from-failed-wakeup-HACK.patch
[ done ]    patches.megous/input-cyttsp4-Use-i2c-spi-names-directly-in-the-driver.patch
[ done ]    patches.megous/input-cyttsp4-Port-the-driver-to-use-device-properties.patch
[ done ]    patches.megous/input-cyttsp4-Restart-on-wakeup-wakeup-by-I2C-read-doesn-t-work.patch
[ done ]    patches.megous/input-cyttsp4-Fix-warnings.patch
[ done ]    patches.megous/input-cyttsp4-Make-the-driver-not-hog-the-system-s-workqueue.patch
[ done ]    patches.megous/video-fbdev-eInk-display-driver-for-A13-based-PocketBooks.patch
[ done ]    patches.megous/regulator-Add-simple-driver-for-enabling-a-regulator-from-users.patch
[ done ]    patches.megous/regulator-tp65185x-Add-tp65185x-eInk-panel-regulator-driver.patch
[ done ]    patches.megous/regulator-tp65185-Add-hwmon-device-for-reading-temperature.patch
[ done ]    patches.megous/ARM-dts-sun5i-Add-soc-handle.patch
[ done ]    patches.megous/ARM-dts-sun5i-Add-PocketBook-Touch-Lux-3-display-ctp-support.patch
[ done ]    patches.megous/ARM-dts-sun5i-a13-pocketbook-touch-lux-3-Add-RTC-clock-cells.patch
[ done ]    patches.megous/mfd-sun4i-gpadc-Interrupt-numbers-should-start-from-1.patch
[ done ]    patches.megous/input-cyttsp4-Fix-probe-oops.patch
[ done ]    patches.megous/iio-core-Add-option-to-force-identity-mount-matrix.patch
[ done ]    patches.megous/input-touchscreen-goodix-Add-config-debugfs-file.patch
[ done ]    patches.megous/input-goodix-Add-option-to-power-off-the-controller-during-susp.patch
[ done ]    patches.megous/input-goodix-Don-t-disable-regulators-during-suspend.patch
[ done ]    patches.megous/arm64-dts-allwinner-a64-Fix-LRADC-compatible.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-front-back-cameras.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-Type-C-support-for-all-PP-va.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-modem-power-manager.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Fix-BH-modem-manager-behavior.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-detailed-OCV-to-capactiy-con.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Shorten-post-power-on-delay-on-m.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-mount-matrix-for-acceleromet.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-support-for-Bluetooth-audio.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Enable-internal-HMIC-bias.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-support-for-modem-audio.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Retain-leds-state-in-suspend.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Bump-I2C-frequency-to-400kHz.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-interrupt-pin-for-WiFi.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Power-off-the-touch-controller-i.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Don-t-make-lradc-keys-a-wakeup-s.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Set-minimum-backlight-duty-cycle.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-supply-for-i2c-bus-to-anx768.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Workaround-broken-HDMI-HPD-signa.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-AF8133J-to-PinePhone.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-mount-matrix-for-PinePhone-m.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Add-support-for-Pinephone-keyboa.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-pinephone-Enable-Pinephone-Keyboard-power-.patch
[ done ]    patches.megous/usb-musb-sunxi-Avoid-enabling-host-side-code-on-SoCs-where-it-s.patch
[ done ]    patches.megous/8723cs-Add-a-new-driver-v5.12.2-7-g2de5ec386.20201013_beta.patch
[ done ]    patches.megous/8723cs-Make-the-driver-compile-and-probe-drop-rockchip-platform.patch
[ done ]    patches.megous/8723cs-Enable-OOB-interrupt.patch
[ done ]    patches.megous/8723cs-Load-the-MAC-address-from-local-mac-address.patch
[ done ]    patches.megous/8723cs-Modify-makefile-options-to-better-suit-PinePhone-Allwinn.patch
[ done ]    patches.megous/8723cs-Enable-monitor-mode.patch
[ done ]    patches.megous/8723cs-Disable-power-saving.patch
[ done ]    patches.megous/8723cs-aes_encrypt-aes_encrypt_128-to-avoid-symbol-name-conflic.patch
[ done ]    patches.megous/8723cs-Enable-wifi-power-saving-mode.patch
[ done ]    patches.megous/8723cs-Enable-TDLS-802.11z-support-direct-sta-sta-connection.patch
[ done ]    patches.megous/8723cs-Disable-CONFIG_CONCURRENT_MODE.patch
[ done ]    patches.megous/8723cs-Set-CONFIG_RTW_SDIO_PM_KEEP_POWER-n-to-fix-suspend-38.patch
[ done ]    patches.megous/8723cs-Resume-wifi-in-a-workqueue.patch
[ done ]    patches.megous/8723cs-Port-to-5.11.patch
[ done ]    patches.megous/8723cs-Enable-WoWLAN.patch
[ done ]    patches.megous/8723cs-Port-to-5.12.patch
[ done ]    patches.megous/8723cs-Fix-misleading-indentation.patch
[ done ]    patches.megous/8723cs-Disable-use-of-NAPI.patch
[ done ]    patches.megous/8723cs-Fix-indentation.patch
[ done ]    patches.megous/8723cs-Fix-compile-warnings.patch
[ done ]    patches.megous/8723cs-Port-to-5.15.patch
[ done ]    patches.megous/8723cs-Clear-wowlan_last_wake_reason-prior-to-suspend.patch
[ done ]    patches.megous/8723cs-Forward-port-to-5.17.patch
[ done ]    patches.megous/8723cs-Port-to-5.18.patch
[ done ]    patches.megous/8723cs-Fix-some-compilation-warnings.patch
[ done ]    patches.megous/clk-Implement-protected-clocks-for-all-OF-clock-providers.patch
[ done ]    patches.megous/Revert-clk-qcom-Support-protected-clocks-property.patch
[ done ]    patches.megous/tty-serial-8250-dw-Use-fifo-size-from-DTS.patch
[ done ]    patches.megous/ARM-dts-sunxi-a83t-Protect-SCP-clocks.patch
[ done ]    patches.megous/arm64-dts-sun50i-a64-Set-fifo-size-for-uarts.patch
[ done ]    patches.megous/ARM-dts-sunxi-h3-h5-Protect-SCP-clocks.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-Set-fifo-size-for-uarts.patch
[ done ]    patches.megous/arm64-dts-allwinner-a64-Protect-SCP-clocks.patch
[ done ]    patches.megous/Mark-some-slow-drivers-for-async-probe-with-PROBE_PREFER_ASYNCH.patch
[ done ]    patches.megous/arm64-dts-allwinner-h6-Protect-SCP-clocks.patch
[ done ]    patches.megous/arm64-xor-Select-32regs-without-benchmark-to-speed-up-boot.patch
[ done ]    patches.megous/bus-sunxi-rsb-Always-check-register-address-validity.patch
[ done ]    patches.megous/bus-sunxi-rsb-Use-devm_platform_ioremap_resource.patch
[ done ]    patches.megous/bus-sunxi-rsb-Precompute-read-write-commands-and-mask.patch
[ done ]    patches.megous/bus-sunxi-rsb-Make-interrupt-handling-more-robust.patch
[ done ]    patches.megous/firmware-arm_scpi-Support-unidirectional-mailbox-channels.patch
[ done ]    patches.megous/ARM-dts-sunxi-a83t-Add-SCPI-protocol.patch
[ done ]    patches.megous/ARM-dts-sunxi-h3-h5-Add-SCPI-protocol.patch
[ done ]    patches.megous/arm64-dts-allwinner-a64-Add-SCPI-protocol.patch
[ done ]    patches.megous/arm64-dts-allwinner-h6-Add-SCPI-protocol.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Give-Linux-more-privileges-over-SCP.patch
[ done ]    patches.megous/rtc-sun6i-Allow-RTC-wakeup-after-shutdown.patch
[ done ]    patches.megous/mmc-sunxi-mmc-Remove-runtime-PM.patch
[ done ]    patches.megous/usb-quirks-Add-USB_QUIRK_RESET-for-Quectel-EG25G-Modem.patch
[ done ]    patches.megous/arm64-dts-pinephone-Add-reboot-mode-driver.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinebook-pro-Fix-USB-PD-charging.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinebook-pro-Improve-Type-C-support-on-Pineboo.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinebook-pro-Remove-redundant-pinctrl-properti.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinebook-pro-Remove-unused-features.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinebook-pro-Don-t-allow-usb2-phy-driver-to-up.patch
[ done ]    patches.megous/arm64-dts-rockchip-rk3399-pinebook-pro-Support-both-Type-C-plug.patch
[ done ]    patches.megous/misc-modem-power-Power-manager-for-modems.patch
[ done ]    patches.megous/ASoC-codec-es8316-DAC-Soft-Ramp-Rate-is-just-a-2-bit-control.patch
[ done ]    patches.megous/media-cedrus-Fix-missing-cleanup-in-error-path.patch
[ done ]    patches.megous/media-cedrus-Fix-failure-to-clean-up-hardware-on-probe-failure.patch
[ done ]    patches.megous/Revert-drm-sun4i-lvds-Invert-the-LVDS-polarity.patch
[ done ]    patches.megous/arm64-dts-allwinner-Enforce-consistent-MMC-numbering.patch
[ done ]    patches.megous/dt-bindings-net-bluetooth-Add-rtl8723bs-bluetooth.patch
[ done ]    patches.megous/ARM-dts-sunxi-Add-aliases-for-MMC.patch
[ done ]    patches.megous/Bluetooth-Add-new-quirk-for-broken-local-ext-features-max_page.patch
[ done ]    patches.megous/of-property-fw_devlink-Support-allwinner-sram-links.patch
[ done ]    patches.megous/Bluetooth-btrtl-add-support-for-the-RTL8723CS.patch
[ done ]    patches.megous/rtw89-Fix-crash-by-loading-compressed-firmware-file.patch
[ done ]    patches.megous/Bluetooth-hci_h5-Add-support-for-binding-RTL8723CS-with-device-.patch
[ done ]    patches.megous/drm-sun4i-Fix-wrong-location-of-clk_prepare_enable.patch
[ done ]    patches.megous/drm-panel-st7703-Improve-the-power-up-down-sequence-of-the-pane.patch
[ done ]    patches.megous/drm-sun4i-Implement-gamma-correction.patch
[ done ]    patches.megous/drm-sun4i-sun6i_mipi_dsi-add-support-for-generic-long-write.patch
[ done ]    patches.megous/clk-sunxi-ng-add-support-for-rate-resetting-notifier.patch
[ done ]    patches.megous/clk-sunxi-ng-a64-try-to-keep-TCON0-clock-in-CCU.patch
[ done ]    patches.megous/drm-sun4i-tcon-hand-over-the-duty-to-keep-TCON0-clock-to-CCU-on.patch
[ done ]    patches.megous/drm-sun4i-Support-taking-over-display-pipeline-state-from-p-boo.patch
[ done ]    patches.megous/drm-sun8i-ui-vi-Fix-layer-zpos-change-atomic-modesetting.patch
[ done ]    patches.megous/drm-sun4i-Mark-one-of-the-UI-planes-as-a-cursor-one.patch
[ done ]    patches.megous/drm-sun4i-drm-Recover-from-occasional-HW-failures.patch
[ done ]    patches.megous/drm-debugging-code.patch
[ done ]    patches.megous/clk-sunxi-ng-sun50i-a64-Switch-parent-of-MIPI-DSI-to-periph0-1x.patch
[ done ]    patches.megous/drm-sun4i-Fix-mipi-dsi-panel-framerate-being-2-3-of-the-expecte.patch
[ done ]    patches.megous/drm-panel-st7703-Fix-xbd599-timings-to-make-refresh-rate-exactl.patch
[ done ]    patches.megous/Revert-drm-sun4i-Fix-mipi-dsi-panel-framerate-being-2-3-of-the-.patch
[ done ]    patches.megous/drm-sun4i-decouple-TCON_DCLK_DIV-value-from-pll_mipi-dotclock-r.patch
[ done ]    patches.megous/drm-lima-add-LIMA_BO_FLAG_FORCE_VA.patch
[ done ]    patches.megous/phy-allwinner-sun4i-usb-Add-support-for-usb_role_switch.patch
[ done ]    patches.megous/video-pwm_bl-Allow-to-change-lth_brightness-via-sysfs.patch
[ done ]    patches.megous/regulator-axp20x-Add-support-for-vin-supply-for-drivevbus.patch
[ done ]    patches.megous/Report-HDMI-hotplug-events.patch
[ done ]    patches.megous/regulator-axp20x-Turn-N_VBUSEN-to-input-on-x-powers-sense-vbus-.patch
[ done ]    patches.megous/power-supply-axp20x-usb-power-Support-input-current-limit.patch
[ done ]    patches.megous/dt-bindings-axp20x-adc-allow-to-use-TS-pin-as-GPADC.patch
[ done ]    patches.megous/power-supply-Add-support-for-USB_BC_ENABLED-and-USB_DCP_INPUT_C.patch
[ done ]    patches.megous/iio-adc-axp20x_adc-allow-to-set-TS-pin-to-GPADC-mode.patch
[ done ]    patches.megous/power-supply-axp20x-Export-usb_type-usb_bc_enabled-dcp-current-.patch
[ done ]    patches.megous/power-axp20x_battery-Allow-to-set-target-voltage-to-4.35V.patch
[ done ]    patches.megous/power-supply-axp20x-usb-power-Don-t-require-exact-values-for-in.patch
[ done ]    patches.megous/power-supply-axp20x_battery-Add-support-for-reporting-OCV.patch
[ done ]    patches.megous/drm-bridge-dw-hdmi-Allow-to-accept-HPD-status-from-other-driver.patch
[ done ]    patches.megous/regulator-axp20x-Enable-over-temperature-protection-and-16s-res.patch
[ done ]    patches.megous/usb-typec-anx7688-Add-driver-for-ANX7688-USB-C-HDMI-bridge.patch
[ done ]    patches.megous/power-supply-axp20x_battery-Setup-thermal-regulation-experiment.patch
[ done ]    patches.megous/power-supply-axp20x_battery-Fix-charging-done-detection.patch
[ done ]    patches.megous/mfd-axp20x-Add-battery-IRQ-resources.patch
[ done ]    patches.megous/power-supply-axp20x_battery-Send-uevents-for-status-changes.patch
[ done ]    patches.megous/sunxi-Use-dev_err_probe-to-handle-EPROBE_DEFER-errors.patch
[ done ]    patches.megous/power-supply-axp20x_battery-Monitor-battery-health.patch
[ done ]    patches.megous/thermal-sun8i-Be-loud-when-probe-fails.patch
[ done ]    patches.megous/power-supply-axp20x-usb-power-Change-Vbus-hold-voltage-to-4.5V.patch
[ done ]    patches.megous/i2c-mv64xxx-Don-t-make-a-fuss-when-pinctrl-recovery-state-is-no.patch
[ done ]    patches.megous/power-axp803-Add-interrupts-for-low-battery-power-condition.patch
[ done ]    patches.megous/sound-soc-sun4i-codec-Silence-deferred-probe-error.patch
[ done ]    patches.megous/power-supply-axp20x-battery-Support-POWER_SUPPLY_PROP_CHARGE_BE.patch
[ done ]    patches.megous/phy-rockchip-inno-usb2-Hide-useless-deferred-probe-error.patch
[ done ]    patches.megous/ASOC-sun9i-hdmi-audio-Initial-implementation.patch
[ done ]    patches.megous/ARM-dts-sunxi-h3-h5-Add-hdmi-sound-card.patch
[ done ]    patches.megous/ARM-dts-sun8i-h3-Enable-hdmi-sound-card-on-boards-with-hdmi.patch
[ done ]    patches.megous/ARM-dts-sun8i-h2-plus-bananapi-m2-zero-Enable-HDMI-audio.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-Add-hdmi-sound-card.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-Enable-hdmi-sound-card-on-boards-with-hdmi.patch
[ done ]    patches.megous/ARM-dts-sun8i-r40-Add-hdmi-sound-card.patch
[ done ]    patches.megous/ARM-dts-sun8i-r40-bananapi-m2-ultra-Enable-HDMI-audio.patch
[ done ]    patches.megous/ARM-dts-sun8i-v40-bananapi-m2-berry-Enable-HDMI-audio.patch
[ done ]    patches.megous/arm64-dts-allwinner-h6-Add-hdmi-sound-card.patch
[ done ]    patches.megous/arm64-dts-allwinner-h6-Enable-hdmi-sound-card-on-boards-with-hd.patch
[ done ]    patches.megous/arm64-dts-allwinner-a64-Add-hdmi-sound-card.patch
[ done ]    patches.megous/arm64-dts-allwinner-a64-Enable-hdmi-sound-card-on-boards-with-h.patch
[ done ]    patches.megous/arm64-dts-allwinner-h5-Enable-hdmi-sound-card-on-boards-with-hd.patch
[ done ]    patches.megous/ASoC-dt-bindings-sun50i-codec-Add-binding-for-internal-bias.patch
[ done ]    patches.megous/ASoC-sun50i-codec-analog-Add-support-for-internal-bias.patch
[ done ]    patches.megous/ASoC-sun50i-codec-analog-Move-suspend-resume-to-set_bias_level.patch
[ done ]    patches.megous/ASoC-sun50i-codec-analog-Enable-jack-detection-on-startup.patch
[ done ]    patches.megous/ASoC-sun8i-codec-Enable-bus-clock-at-STANDBY-and-higher-bias.patch
[ done ]    patches.megous/ASoC-sun8i-codec-Implement-jack-and-accessory-detection.patch
[ done ]    patches.megous/ASoC-ec25-New-codec-driver-for-the-EC25-modem.patch
[ done ]    patches.megous/clk-sunxi-ng-a64-Increase-PLL_AUDIO-base-frequency.patch
[ done ]    patches.megous/sound-soc-sun8i-codec-Add-support-for-digital-part-of-the-AC100.patch
[ done ]    patches.megous/sound-soc-sun8i-codec-Drop-debug-statements.patch
[ done ]    patches.megous/sound-soc-ac100-codec-Support-analog-part-of-X-Powers-AC100-cod.patch
[ done ]    patches.megous/sound-soc-ac100-Make-sure-we-shutdown-the-audio-outputs-on-rebo.patch
[ done ]    patches.megous/ASoC-sunxi-sun8i-codec-Improve-jack-button-handling-and-mic-det.patch
[ done ]    patches.megous/arm64-dts-allwinner-a64-pinetab-add-front-camera.patch
[ done ]    patches.megous/clk-sunxi-ng-Export-CLK_DRAM-for-devfreq.patch
[ done ]    patches.megous/arm64-allwinner-dts-a64-enable-K101-IM2BYL02-panel-for-PineTab.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-Add-MBUS-node.patch
[ done ]    patches.megous/Make-microbuttons-on-Orange-Pi-PC-and-PC-2-work-as-power-off-bu.patch
[ done ]    patches.megous/Add-support-for-my-private-Sapomat-device.patch
[ done ]    patches.megous/Add-README.md-with-information-and-u-boot-patches.patch
[ done ]    patches.megous/ARM-dts-sun8i-h3-orange-pi-one-Enable-all-gpio-header-UARTs.patch
[ done ]    patches.megous/Defconfigs-for-all-my-devices.patch
[ done ]    patches.megous/arm64-dts-rockchip-add-rk3568-pcie2x1-controller.patch
[ done ]    patches.megous/arm64-dts-rockchip-enable-pcie-controller-on-quartz64-a.patch
[ done ]    patches.megous/arm64-dts-rockchip-rk356x-Fix-pcie2x1-address-mapping.patch
[ done ]    patches.megous/arm64-dts-rockchip-add-uart-dma-names.patch
[ done ]    patches.megous/arm64-dts-rockchip-enable-sdr-104-on-sdmmc.patch
[ done ]    patches.megous/arm64-dts-rockchip-add-fan-pinctrl-to-quartz64-a.patch
[ done ]    patches.megous/arm64-dts-rockchip-enable-sfc-controller-on-Quartz64-Model-A.patch
[ done ]    patches.megous/arm64-dts-rk3399-Disable-debug-nodes-they-hang-boot.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-support-for-Pinephone-Pro.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Fix-blue-LED-gpio.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Fixup-DT-validation-issues.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Make-charging-and-peripheral-mod.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Fix-goodix-toucscreen-interrupts.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Correct-the-pmu1830-io-domain-su.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Power-off-goodix-touchscreen-in-.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-support-for-both-cameras.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Fix-SD-card-power-supply-definit.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Correct-the-battery-specificatio.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Cleanup-some-USB-nodes-whitespac.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Fix-PDOs-to-be-more-reasonable.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-chassis-type-handset-to-DT.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-mmc-aliases-to-get-stable-nu.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Use-a-new-rk818-battery-compatib.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Full-support-for-Type-C-port.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Use-DCLK_VOP-_FRAC-to-achieve-pr.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-support-for-powering-up-the-.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-audio-support.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Add-POGO-i2c-bus.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Improve-vcc5v0_typec-description.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-STK3311A-INT-pin-is-open-drain.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Magnetometer-is-AF8133J.patch
[ done ]    patches.megous/arm64-dts-rk3399-pinephone-pro-Fix-leds.patch
